ingredients_text,ingredients_tags,ingredients_analysis_tags,additives,additives_tags,additives_en,additives_n,allergens,allergens_en,nova_group,nutriscore_score,nutriscore_grade,serving_size,serving_quantity,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,fiber_100g,salt_100g,sodium_100g
,,,,,,,,,,,unknown,28.0g,28.0,357.14,5.36,,14.29,,71.43,7.14,0.45,0.18
,,,,,,,,,,,unknown,261.0g,261.0,176.6,6.9,3.1,20.69,,7.66,2.07,1.083325,0.43333
"Nuts (Peanuts, Almonds), Prebiotic Blend (Tapioca Fiber, Vegetable Fiber), Protein Blend (Pea Protein Crisps [Pea Protein, Tapioca Starch], Pea Protein), Natural Flavors, Peanut Flour, Coconut Oil, Unsweetened Chocolate, Cocoa, Cocoa Butter, Sea Salt, Lion's Mane, Stevia Plant Extract, Vitamin E","en:nut,en:prebiotic-blend,en:protein-blend,en:natural-flavouring,en:flavouring,en:peanut-flour,en:peanut,en:coconut-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:vegetable-oil,en:chocolate,en:cocoa,en:plant,en:cocoa-butter,en:sea-salt,en:salt,en:lion-s-mane,en:stevia-plant-extract,en:vitamin-e,en:vitamins,en:almond,en:tree-nut,en:tapioca-fiber,en:vegetable-fiber,en:fiber,en:pea-protein-crisps,en:pea-protein,en:protein,en:plant-protein,en:tapioca,en:starch","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,0.0,"en:eggs,en:gluten,en:milk,en:soybeans",,4.0,,unknown,2 scoops (35 g),35.0,343.0,5.71,,31.4,8.57,57.1,14.3,1.79,0.714
Inulin Prebiotic Fiber (Chicory Root Powder),"en:inulin-prebiotic-fiber,en:chicory-root,en:vegetable,en:shoot-vegetable,en:chicory","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,0.0,,,,,unknown,3g,3.0,,,,,,,,,
"Madeleines ChocoNoir - Madeleines nappées de chocolat noir : farine de blé 27%, chocolat noir 18% (pâte de cacao, sucre, beurre de cacao, matière grasse laitière anhydre, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, huile de colza, œufs de poules élevées en plein air 14.5%, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel. Peut contenir des traces de fruits à coque. Toutes vos remarques et suggestions sont les bienvenues : contactez notre Service Qualité en indiquant le nom et le numéro du lot du produit concerné figurant sur le dessus de la boîte. Pour conserver toutes les qualités de ce produit, le maintenir dans un milieu tempéré à l'abri de la chaleur, de l'humidité et du froid.","fr:madeleines-choconoir,fr:madeleines-nappees-de-chocolat-noir,en:dark-chocolate,en:chocolate,en:sugar,en:added-sugar,en:disaccharide,en:colza-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:rapeseed-oil,en:free-range-chicken-eggs,en:egg,en:chicken-egg,en:free-range-eggs,en:glucose-fructose-syrup,en:monosaccharide,en:fructose,en:glucose,en:stabiliser,en:raising-agent,en:e500,en:e331,en:salt,en:wheat-gluten,en:gluten,en:skimmed-milk-powder,en:dairy,en:milk-powder,en:vegetable-fiber,en:fiber,en:natural-flavouring,en:flavouring,fr:toutes-vos-remarques-et-suggestions-sont-les-bienvenues,fr:le-maintenir-dans-un-milieu-tempere-a-l-abri-de-la-chaleur,fr:de-l-humidite-et-du-froid,en:wheat-flour,en:cereal,en:flour,en:wheat,en:cereal-flour,en:cocoa-paste,en:plant,en:cocoa,en:cocoa-butter,fr:matiere-grasse-de-lait-anhydre,en:emulsifier,en:natural-vanilla-flavouring,en:vanilla-flavouring,en:e422,en:e503,fr:contactez-notre-service-qualite-en-indiquant-le-nom-et-le-numero-du-lot-du-produit-concerne-figurant-sur-le-dessus-de-la-boite,fr:pour-conserver-toutes-les-qualites-de-ce-produit,en:e322,en:soya-lecithin,en:e322i","en:palm-oil-content-unknown,en:non-vegan,en:vegetarian-status-unknown",,"en:e322,en:e322i,en:e331,en:e422,en:e500,en:e503","E322 - Lecithins,E322i - Lecithin,E331 - Sodium citrates,E422 - Glycerol,E500 - Sodium carbonates,E503 - Ammonium carbonates",6.0,,,4.0,9.0,c,54g,54.0,389.0,16.7,6.48,35.2,1.85,37.0,18.5,0.88,0.352
"Pommes séchées - Dried Apple* Origine: Autriche - Origin: Austria Ce produit provient d'une fabrique où les noix, cacahuètes, sésame, blé et gluten sont utilisés. This producti 024","en:dried-apple,en:fruit,en:malaceous-fruit,en:apple,fr:dried-apple,en:peanut,en:nut,en:sesame,en:seed,en:wheat,en:cereal,fr:gluten-sont-utilises,fr:this-producti-024","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,0.0,,,1.0,,unknown,33.3g,33.3,,,,,,75.07508,,,
"glucose syrup, sugar, water, pectin, black carrot concentrate and chlorophyll (color), citric acid, trisodium citrate, natural flavor","en:glucose-syrup,en:added-sugar,en:monosaccharide,en:glucose,en:sugar,en:disaccharide,en:water,en:e440a,en:concentrated-black-carrot,en:vegetable,en:root-vegetable,en:taproot-vegetable,en:carrot,en:e163,en:black-carrot,en:e140i,en:e140,en:e330,en:e331iii,en:e331,en:natural-flavouring,en:flavouring,en:colour","en:palm-oil-free,en:maybe-vegan,en:maybe-vegetarian",,"en:e140,en:e140i,en:e330,en:e331,en:e331iii,en:e440","E140 - Chlorophylls and Chlorophyllins,E140i - Chlorophylls,E330 - Citric acid,E331 - Sodium citrates,E331iii - Trisodium citrate,E440 - Pectins",4.0,,,4.0,,unknown,2g,2.0,,,,,,,,,
"beef, seasoning (sugar, garlic, onion, salt, spices), soy sauce (water, wheat, soybeans, salt), water, liquid smoke, sodium nitrite","en:beef,en:animal,en:coating,en:soy-sauce,en:sauce,en:water,en:liquid-smoke,en:smoke,en:e250,en:sugar-coating,en:added-sugar,en:disaccharide,en:sugar,en:garlic,en:vegetable,en:root-vegetable,en:onion-family-vegetable,en:onion,en:salt,en:spice,en:condiment,en:wheat,en:cereal,en:soya-bean,en:legume,en:pulse,en:soya","en:palm-oil-free,en:maybe-vegan,en:vegetarian",,en:e250,E250 - Sodium nitrite,1.0,,,,,unknown,28g,28.0,286.0,5.36,1.79,28.6,25.0,35.7,0.0,2.68,1.07
NIK ODŻYWCZY WSPIERA PRAWIDŁOWE FUNKCJONOWANIE ORGANIZMU ZESKANUJ WIĘCEJA SPOTKAJMY SIN SPRÓBLU JAK PYSZNA IWARTOŚCIOWA MOŻE BYĆ TWOJA PRZEKĄSKA mieste dal twistenue p amach ne zachowania,en:nik-odżywczy-wspiera-prawidłowe-funkcjonowanie-organizmu-zeskanuj-więceja-spotkajmy-sin-sproblu-jak-pyszna-iwartościowa-może-być-twoja-przekąska-mieste-dal-twistenue-p-amach-ne-zachowania,"en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,0.0,,,,,unknown,700 ml,700.0,63.0,3.1,,4.0,,3.9,,,
Organic Defatted Hemp Seed Powder. Certified Organic by Quality Assurance International (QA).,"en:hemp-seed,en:seed,en:by-quality-assurance-international","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,0.0,,,1.0,,unknown,30g,30.0,,2.0,,15.0,6.0,9.0,10.0,0.0,0.0
